2024-10-16 23:56:33,806 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Configure stats pid to 182791
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Loading settings from /root/.config/wandb/settings
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Loading settings from /home/RL/ass2/wandb/settings
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'p3/p3.1/train.py', 'program_abspath': '/home/RL/ass2/p3/p3.1/train.py', 'program': '/home/RL/ass2/p3/p3.1/train.py'}
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:_log_setup():532] Logging user logs to /home/RL/ass2/wandb/offline-run-20241016_235633-7m2jk3ms/logs/debug.log
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:_log_setup():533] Logging internal logs to /home/RL/ass2/wandb/offline-run-20241016_235633-7m2jk3ms/logs/debug-internal.log
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:init():616] calling init triggers
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:init():666] starting backend
2024-10-16 23:56:33,807 INFO    MainThread:182791 [wandb_init.py:init():670] setting up manager
2024-10-16 23:56:33,808 INFO    MainThread:182791 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-16 23:56:33,810 INFO    MainThread:182791 [wandb_init.py:init():678] backend started and connected
2024-10-16 23:56:33,813 INFO    MainThread:182791 [wandb_init.py:init():773] updated telemetry
2024-10-16 23:56:33,814 INFO    MainThread:182791 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-16 23:56:33,868 INFO    MainThread:182791 [wandb_init.py:init():857] starting run threads in backend
2024-10-16 23:56:33,948 INFO    MainThread:182791 [wandb_run.py:_console_start():2459] atexit reg
2024-10-16 23:56:33,948 INFO    MainThread:182791 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-16 23:56:33,949 INFO    MainThread:182791 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-16 23:56:33,949 INFO    MainThread:182791 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-16 23:56:33,950 INFO    MainThread:182791 [wandb_init.py:init():900] run started, returning control to user process
2024-10-17 00:16:15,127 WARNING MsgRouterThr:182791 [router.py:message_loop():77] message_loop has been closed
