2024-10-21 14:08:42,678 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Configure stats pid to 436883
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Loading settings from /root/.config/wandb/settings
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Loading settings from /home/RL/ass2/wandb/settings
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'p3/p3.1/train.py', 'program_abspath': '/home/RL/ass2/p3/p3.1/train.py', 'program': '/home/RL/ass2/p3/p3.1/train.py'}
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:_log_setup():532] Logging user logs to /home/RL/ass2/wandb/offline-run-20241021_140842-h2ar6u3p/logs/debug.log
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:_log_setup():533] Logging internal logs to /home/RL/ass2/wandb/offline-run-20241021_140842-h2ar6u3p/logs/debug-internal.log
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:init():616] calling init triggers
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'eps_start': 1, 'eps_end': 0.001, 'eps_decay': 0.9, 'eps_k': 100, 'n_episodes': 10000, 'batch_size': 64, 'gamma': 0.99, 'tau': 0.001, 'max_traj_len': 1000}
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:init():666] starting backend
2024-10-21 14:08:42,679 INFO    MainThread:436883 [wandb_init.py:init():670] setting up manager
2024-10-21 14:08:42,681 INFO    MainThread:436883 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-21 14:08:42,684 INFO    MainThread:436883 [wandb_init.py:init():678] backend started and connected
2024-10-21 14:08:42,688 INFO    MainThread:436883 [wandb_init.py:init():773] updated telemetry
2024-10-21 14:08:42,689 INFO    MainThread:436883 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-21 14:08:42,744 INFO    MainThread:436883 [wandb_init.py:init():857] starting run threads in backend
2024-10-21 14:08:42,852 INFO    MainThread:436883 [wandb_run.py:_console_start():2459] atexit reg
2024-10-21 14:08:42,852 INFO    MainThread:436883 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-21 14:08:42,852 INFO    MainThread:436883 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-21 14:08:42,852 INFO    MainThread:436883 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-21 14:08:42,856 INFO    MainThread:436883 [wandb_init.py:init():900] run started, returning control to user process
2024-10-21 14:22:35,739 WARNING MsgRouterThr:436883 [router.py:message_loop():77] message_loop has been closed
